date,word,language,month,Leo_months
2021-07-17,Wäsche,german,2021-07,20
2021-07-18,Pusteblume,german,2021-07,20
2021-07-18,Brille,german,2021-07,20
2021-07-18,Vogel,german,2021-07,20
2021-07-18,Tischtennis,german,2021-07,20
2021-07-19,Bauch,german,2021-07,20
2021-07-19,tigre,spanish,2021-07,20
2021-07-19,Pferd,german,2021-07,20
2021-07-19,Igel,german,2021-07,20
2021-07-19,ardilla,spanish,2021-07,20
2021-07-20,Zähne,german,2021-07,21
2021-07-21,Vielleicht,german,2021-07,21
2021-07-21,schiess,german,2021-07,21
2021-07-21,Eichhörnchen,german,2021-07,21
2021-07-21,Rückwärts,german,2021-07,21
2021-07-22,süß,german,2021-07,21
2021-07-22,warm,german,2021-07,21
2021-07-23,Nektarine,german,2021-07,21
2021-07-24,fein,german,2021-07,21
2021-07-24,hipopótamo,spanish,2021-07,21
2021-07-24,oso,spanish,2021-07,21
2021-07-24,foto,spanish,2021-07,21
2021-07-24,maleta,spanish,2021-07,21
2021-07-26,Ausfahrt,german,2021-07,21
2021-07-26,weiter,german,2021-07,21
2021-07-27,Zug,german,2021-07,21
2021-07-27,jitomate,spanish,2021-07,21
2021-07-27,Mond,german,2021-07,21
2021-07-28,fuerte,spanish,2021-07,21
2021-07-28,Búho,spanish,2021-07,21
2021-07-28,Paula,neutral,2021-07,21
2021-07-28,Bär,german,2021-07,21
2021-07-28,Isa,neutral,2021-07,21
2021-07-30,meiner,german,2021-07,21
2021-07-31,salud,spanish,2021-07,21
2021-07-31,heute,german,2021-07,21
2021-08-01,Mexico,spanish,2021-08,21
2021-08-01,Wand,german,2021-08,21
2021-08-01,buscar,spanish,2021-08,21
2021-08-01,arm,german,2021-08,21
2021-08-02,Memory,german,2021-08,21
2021-08-02,chanclas,spanish,2021-08,21
2021-08-03,cerrado,spanish,2021-08,21
2021-08-03,Hausschuhe,german,2021-08,21
2021-08-03,toma,spanish,2021-08,21
2021-08-04,danke,spanish,2021-08,21
2021-08-04,bitte,spanish,2021-08,21
2021-08-04,Wohnung,spanish,2021-08,21
2021-08-05,ICE,german,2021-08,21
2021-08-05,zehn,german,2021-08,21
2021-08-05,sieben,german,2021-08,21
2021-08-05,zwei,german,2021-08,21
2021-08-05,drei,german,2021-08,21
2021-08-05,toalla,spanish,2021-08,21
2021-08-05,tienes,spanish,2021-08,21
2021-08-05,susto,spanish,2021-08,21
2021-08-07,lejos,spanish,2021-08,21
2021-08-07,tortuga,spanish,2021-08,21
2021-08-07,Rino,german,2021-08,21
2021-08-07,saco,spanish,2021-08,21
2021-08-07,jetzt,german,2021-08,21
2021-08-07,siete,spanish,2021-08,21
2021-08-07,seis,spanish,2021-08,21
2021-08-07,putzen,german,2021-08,21
2021-08-07,Müll,german,2021-08,21
2021-08-07,Murmel,german,2021-08,21
2021-08-08,leuchten,german,2021-08,21
2021-08-08,Hase,german,2021-08,21
2021-08-08,Stinktier,german,2021-08,21
2021-08-08,dulce,spanish,2021-08,21
2021-08-08,sentar,spanish,2021-08,21
2021-08-08,Barfuß,german,2021-08,21
2021-08-08,caliente,spanish,2021-08,21
2021-08-09,alleine,german,2021-08,21
2021-08-09,Knäckebrot,german,2021-08,21
2021-08-10,Biene,german,2021-08,21
2021-08-10,vaca,spanish,2021-08,21
2021-08-10,Schaf,german,2021-08,21
2021-08-11,Hainer,neutral,2021-08,21
2021-08-12,amorcito,spanish,2021-08,21
2021-08-13,ausmalen,german,2021-08,21
2021-08-13,durmiendo,spanish,2021-08,21
2021-08-13,Muncholino,neutral,2021-08,21
2021-08-13,Haargummi,german,2021-08,21
2021-08-13,Wombat,german,2021-08,21
2021-08-14,Ziege,german,2021-08,21
2021-08-14,Fahrrad,german,2021-08,21
2021-08-14,Kuchen,german,2021-08,21
2021-08-15,Simone,neutral,2021-08,21
2021-08-15,Stuhl,german,2021-08,21
2021-08-15,Toll,german,2021-08,21
2021-08-16,ballena,spanish,2021-08,21
2021-08-17,planeta,spanish,2021-08,21
2021-08-17,zorro,spanish,2021-08,21
2021-08-17,Wind,german,2021-08,21
2021-08-17,lindo,spanish,2021-08,21
2021-08-17,cerdo,spanish,2021-08,21
2021-08-17,araña,spanish,2021-08,21
2021-08-17,avión,spanish,2021-08,21
2021-08-19,Käsefuss,german,2021-08,22
2021-08-19,Frosch,german,2021-08,22
2021-08-20,Salat,german,2021-08,22
2021-08-20,so jetzt,german,2021-08,22
2021-08-20,Paprika,german,2021-08,22
2021-08-21,Haferflocken,german,2021-08,22
2021-08-21,schnell,german,2021-08,22
2021-08-22,raton,spanish,2021-08,22
2021-08-22,buenas noches,spanish,2021-08,22
2021-08-22,buenos dias,spanish,2021-08,22
2021-08-22,puerta,spanish,2021-08,22
2021-08-23,workout,german,2021-08,22
2021-08-23,Vulva,german,2021-08,22
2021-08-23,schneiden,german,2021-08,22
2021-08-24,mobil,spanish,2021-08,22
2021-08-25,Mati,neutral,2021-08,22
2021-08-25,lesen,german,2021-08,22
2021-08-25,Schweinchen,german,2021-08,22
2021-08-26,haben,german,2021-08,22
2021-08-26,pantalón,spanish,2021-08,22
2021-08-26,t-shirt,spanish,2021-08,22
2021-08-26,rutschig,german,2021-08,22
2021-08-26,Supermarkt,german,2021-08,22
2021-08-26,kommen,german,2021-08,22
2021-08-26,anziehen,german,2021-08,22
2021-08-27,abholen,german,2021-08,22
2021-08-27,Ina,neutral,2021-08,22
2021-08-28,Huhn,german,2021-08,22
2021-08-28,Herz,german,2021-08,22
2021-08-28,tragen,german,2021-08,22
2021-08-28,alle,german,2021-08,22
2021-08-29,pingüino,spanish,2021-08,22
2021-08-29,schade,german,2021-08,22
2021-08-29,klein,german,2021-08,22
2021-08-29,zart,german,2021-08,22
2021-08-30,vorne,german,2021-08,22
2021-08-30,links,german,2021-08,22
2021-08-30,compu,spanish,2021-08,22
2021-08-30,prost,german,2021-08,22
2021-08-30,verdad,spanish,2021-08,22
2021-08-30,bleiben,german,2021-08,22
2021-08-30,rechts,german,2021-08,22
2021-09-01,Wassermelone,german,2021-09,22
2021-09-01,nochmal,german,2021-09,22
2021-09-02,sauber,german,2021-09,22
2021-09-02,bajar,spanish,2021-09,22
2021-09-02,laufen,spanish,2021-09,22
2021-09-03,Janice,neutral,2021-09,22
2021-09-03,arbeiten,german,2021-09,22
2021-09-03,Hof,german,2021-09,22
2021-09-03,vuelan,spanish,2021-09,22
2021-09-04,letras,spanish,2021-09,22
2021-09-04,noch,german,2021-09,22
2021-09-04,sagen,german,2021-09,22
2021-09-04,quienes,spanish,2021-09,22
2021-09-04,Löwe,german,2021-09,22
2021-09-05,kochen,german,2021-09,22
2021-09-06,miedo,spanish,2021-09,22
2021-09-06,Fischlein,german,2021-09,22
2021-09-07,Carrousel,german,2021-09,22
2021-09-07,hilfe,german,2021-09,22
2021-09-07,doch,german,2021-09,22
2021-09-07,ayuda,spanish,2021-09,22
2021-09-07,fuente,spanish,2021-09,22
2021-09-08,Hallöchen,german,2021-09,22
2021-09-08,marcas,spanish,2021-09,22
2021-09-08,listos,spanish,2021-09,22
2021-09-09,müffeln,german,2021-09,22
2021-09-09,Grasshüpfer,german,2021-09,22
2021-09-09,holen,german,2021-09,22
2021-09-10,cerrada,spanish,2021-09,22
2021-09-10,rein,german,2021-09,22
2021-09-10,sed,spanish,2021-09,22
2021-09-10,Stadt,german,2021-09,22
2021-09-10,Dave,neutral,2021-09,22
2021-09-10,cabe,spanish,2021-09,22
2021-09-11,cortar,spanish,2021-09,22
2021-09-11,fertig,german,2021-09,22
2021-09-11,verletzen,german,2021-09,22
2021-09-12,klopfen,german,2021-09,22
2021-09-12,pared,spanish,2021-09,22
2021-09-13,abbeißen,german,2021-09,22
2021-09-13,kaufen,german,2021-09,22
2021-09-13,sitzen,german,2021-09,22
2021-09-13,escalera,spanish,2021-09,22
2021-09-13,Lied,german,2021-09,22
2021-09-13,pásale,spanish,2021-09,22
2021-09-13,familia,spanish,2021-09,22
2021-09-13,balancieren,neutral,2021-09,22
2021-09-14,flecha,spanish,2021-09,22
2021-09-15,culo,spanish,2021-09,22
2021-09-15,Kimi,neutral,2021-09,22
2021-09-15,zeigen,german,2021-09,22
2021-09-16,einkaufen,german,2021-09,22
2021-09-16,aspiradora,spanish,2021-09,22
2021-09-17,Nuffin,german,2021-09,22
2021-09-17,otoño,spanish,2021-09,22
2021-09-18,porfis,spanish,2021-09,22
2021-09-18,gucken,german,2021-09,22
2021-09-19,desayuno,spanish,2021-09,23
2021-09-19,Kuscheltier,german,2021-09,23
2021-09-19,Einhorn,german,2021-09,23
2021-09-19,taladro,spanish,2021-09,23
2021-09-19,bohren,german,2021-09,23
2021-09-23,aufräumen,german,2021-09,23
2021-09-23,Fußball,german,2021-09,23
2021-09-23,Koffer,german,2021-09,23
2021-09-23,gemacht,german,2021-09,23
2021-09-23,aufwachen,german,2021-09,23
2021-09-24,hingelegt,german,2021-09,23
2021-09-24,Test,german,2021-09,23
2021-09-24,alarma,spanish,2021-09,23
2021-09-24,geben,german,2021-09,23
2021-09-24,gluggert,german,2021-09,23
2021-09-26,Schaukel,german,2021-09,23
2021-09-26,jardín,spanish,2021-09,23
2021-09-27,probieren,german,2021-09,23
2021-09-28,wunderbar,german,2021-09,23
2021-09-28,papel,spanish,2021-09,23
2021-09-28,pintar,spanish,2021-09,23
2021-09-29,trocken,german,2021-09,23
2021-09-29,Räuberhöhle,german,2021-09,23
2021-09-29,Zimmer,german,2021-09,23
2021-09-30,oscuro,spanish,2021-09,23
2021-09-30,Glühwürmchen,german,2021-09,23
2021-09-30,Hose,german,2021-09,23
2021-09-30,Helm,german,2021-09,23
2021-10-01,Kastanie,german,2021-10,23
2021-10-01,runterfallen,german,2021-10,23
2021-10-02,wickeln,german,2021-10,23
2021-10-02,abklöpfen,german,2021-10,23
2021-10-02,suchen,german,2021-10,23
2021-10-02,dran,german,2021-10,23
2021-10-02,loslassen,german,2021-10,23
2021-10-03,spielen,german,2021-10,23
2021-10-04,Schale,german,2021-10,23
2021-10-05,Schluckauf,german,2021-10,23
2021-10-05,Schwan,german,2021-10,23
2021-10-05,Otter,german,2021-10,23
2021-10-06,Emu,german,2021-10,23
2021-10-06,Dingo,german,2021-10,23
2021-10-06,Canguro,german,2021-10,23
2021-10-06,Schimpanse,german,2021-10,23
2021-10-06,Apfelschorle,german,2021-10,23
2021-10-06,Knopf,german,2021-10,23
2021-10-07,Kinder,german,2021-10,23
2021-10-07,encanta,spanish,2021-10,23
2021-10-07,Natalia,neutral,2021-10,23
2021-10-07,Akku,german,2021-10,23
2021-10-09,cable,spanish,2021-10,23
2021-10-09,Schublade,german,2021-10,23
2021-10-09,schreiben,spanish,2021-10,23
2021-10-09,Mittagsschlaf,german,2021-10,23
2021-10-09,kratzen,german,2021-10,23
2021-10-09,codo,spanish,2021-10,23
2021-10-09,también,spanish,2021-10,23
2021-10-10,ausspucken,german,2021-10,23
2021-10-10,funciona,spanish,2021-10,23
2021-10-11,canción,spanish,2021-10,23
2021-10-11,später,german,2021-10,23
2021-10-11,pronto,spanish,2021-10,23
2021-10-11,seco,spanish,2021-10,23
2021-10-12,Hubschrauber,german,2021-10,23
2021-10-12,porfin,spanish,2021-10,23
2021-10-12,packen,german,2021-10,23
2021-10-13,reír,spanish,2021-10,23
2021-10-13,reparando,spanish,2021-10,23
2021-10-13,Saft,german,2021-10,23
